household_id,avg_monthly_consumption,median_monthly_consumption,sd_monthly_consumption,n_months_recorded,n_valid_months,n_zero_months,household_size,average_age,median_age,youngest_age,oldest_age,average_hours_at_home,employed_members,male_members,female_members,head_gender,head_ethnicity,head_religion,head_marital_status,head_education,head_occupation,head_employment_status,total_appliances,total_weekly_hours,refrigerator,electric_iron_including_electric_steam_iron,microwave,electric_cook_tops_induction_cookers_infra_red_cookers_hot_plates,washing_machine,electric_water_heater_to_heat_water_for_drinking_purposes,electric_oven,air_fryer,electric_water_pump,geyser_hot_water_systems_for_bathrooms_which_operate_from_electricity,floor_area,no_of_electricity_meters,own_the_house_or_living_on_rent,type_of_house,socio_economic_class,total_monthly_expenditure_of_last_month,main_material_used_for_walls_of_the_house,main_material_used_for_roof_of_the_house,type_of_electricity_meter,missing_appliance_survey,consumption_outlier,usage_intensity_pc1
ID0001,91.36,94,25.13278071894685,25,25,1,4,49.75,49,30,71,139,2,2,2,Male,Sinhala,Buddhism,Currently married (registered),Passed G.C.E.(A/L) or equivalent,Related to forces,Government employee,8,98,1,1,0,0,0,0,0,0,0,0,1500,1,"Yes, I or a household member owns it.",Single House - Double Floor,SEC C,35000,Brick,Asbestos,Non smart meter,FALSE,FALSE,-1.126018351048352
ID0002,47.36,48,10.107258118138008,25,25,0,3,70,66,59,85,112,0,2,1,Male,Sinhala,Buddhism,Currently married (registered),Passed Grade 6,NA,NA,4,168,1,0,0,0,0,0,0,0,0,0,440,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC D,40000,Brick,Asbestos,Non smart meter,FALSE,FALSE,-1.450429764808717
ID0003,188.52,202,26.924462235422023,25,25,0,4,42.5,42.5,11,74,117,0,2,2,Male,Sinhala,Buddhism,Currently married (registered),Passed Degree / Diploma,Professional,Government employee,19,226.51,1,1,1,1,1,0,0,0,0,0,2500,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC A,250000,Brick,Tile,Smart meter,FALSE,FALSE,3.1449840686197916
ID0004,236.24,228,57.053542104471184,25,25,0,4,35.5,33.5,4,71,114,1,2,2,Male,Sinhala,Buddhism,Currently married (registered),Passed G.C.E.(A/L) or equivalent,Elementary occupation,Employer,16,218,1,1,1,0,1,0,0,0,0,0,2600,1,"Yes, I or a household member owns it.",Single House - Double Floor,SEC A,100000,Cement Block,Concrete,Smart meter,FALSE,FALSE,1.2921599559177959
ID0005,94.04,94,7.441326046702518,25,25,0,2,67.5,67.5,57,78,126,1,1,1,Male,Sinhala,Buddhism,Currently married (registered),Passed Grade 10,Professional,Own account worker,11,391.5,1,1,0,0,1,0,0,0,0,0,480,1,"Yes, I or a household member owns it.",Flat,SEC D,60000,I am not aware of that,Concrete,Smart meter,FALSE,FALSE,0.5082134494759691
ID0006,151.96,156,21.945918375254504,25,25,0,6,26.333333333333332,19.5,13,48,103.91666666666669,2,3,3,Male,Sri Lankan Tamil,Hinduism,Currently married (customary),Passed Grade 8,Service worker and shop and market sales worker,Private sector employee,10,243.15,1,1,0,0,0,0,0,0,0,0,440,1,"Yes, I or a household member owns it.",Flat,SEC E,100000,Cement Block,Concrete,Smart meter,FALSE,FALSE,0.054372604917021894
ID0007,82.72,84,6.535288822997803,25,25,0,4,21.5,21,6,38,113.5,2,3,1,Male,Sri Lankan Tamil,Hinduism,Currently married (customary),Passed G.C.E.(O/L),Craft and related worker,Own account worker,9,170.83,1,1,0,0,0,0,0,0,0,0,480,1,"Yes, I or a household member owns it.",Flat,SEC C,60000,Cement Block,Concrete,Smart meter,FALSE,FALSE,-0.8241373332818769
ID0008,65.16,68,12.320984809124091,25,25,0,5,36,25,19,60,90,1,1,4,Female,Sinhala,Buddhism,Currently married (registered),Passed post Graduate Degree / Diploma,Professional,Government employee,17,215.75,1,1,0,0,0,0,0,0,0,0,1400,2,"Yes, I or a household member owns it.",Single House - Double Floor,SEC B,150000,Cement Block,Asbestos,Smart meter,FALSE,FALSE,1.3860643745876364
ID0009,26.08,25,8.563099127457692,25,25,0,2,43.5,43.5,24,63,71,1,0,2,Female,Sinhala,Buddhism,Never married,Passed G.C.E.(A/L) or equivalent,Service worker and shop and market sales worker,Private sector employee,5,35.33,1,1,0,0,0,0,0,0,0,0,350,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC C,15000,Brick,Asbestos,Non smart meter,FALSE,FALSE,-2.3939238549317166
ID0010,70.76,71,9.879608629225483,25,25,0,7,40.714285714285715,47,10,74,96.28571428571428,1,2,5,Female,Sinhala,Buddhism,Widowed,Passed Grade 7,No occupation,Own account worker,12,221.25,1,1,0,0,0,0,0,0,0,0,1000,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC E,50000,Brick,Tile,Non smart meter,FALSE,FALSE,-0.2145451565555008
ID0011,84.88,85,8.001666493091715,25,25,0,5,21.8,15,5,45,17,1,4,1,Male,Sinhala,Buddhism,Currently married (registered),Passed GAQ (General Arts Qualifying (External) Examination)/GSQ (General Science Qualifying examination),Clerk,Government employee,3,168.58,1,0,0,0,0,0,0,0,0,0,500,1,"Yes, I or a household member owns it.",Single House - Double Floor,SEC A,50000,Cement Block,Asbestos,Smart meter,FALSE,FALSE,-1.389116821382102
ID0012,312.08,305,41.02633300698467,25,25,0,7,41.42857142857143,43,8,81,120,0,4,3,Male,Sinhala,Buddhism,Currently married (registered),Passed Degree / Diploma,Professional,Private sector employee,32,489.97,1,1,1,0,1,1,0,0,0,0,2900,1,"Yes, I or a household member owns it.",Single House - Double Floor,SEC A,200000,Cement Block,Asbestos,Smart meter,FALSE,TRUE,5.166470805599644
ID0013,153.08,157,18.777024968473217,25,25,0,1,75,75,75,75,168,0,1,0,Male,Sinhala,Buddhism,Widowed,Passed Degree / Diploma,NA,NA,10,185,1,1,0,0,1,0,0,0,0,0,2100,1,"Yes, I or a household member owns it.",Single House - Single Floor,SEC A,60000,Brick,Tent,Smart meter,FALSE,FALSE,0.016644797084980706
ID0014,135.2,132,14.145081595145832,25,25,0,4,36.75,37,16,57,124.5,2,3,1,Female,Sinhala,Buddhism,Currently married (registered),Passed Degree / Diploma,Professional,Government employee,14,201.25,1,1,0,0,1,0,0,0,0,0,1000,1,"Yes, I or a household member owns it.",Single House - Double Floor,SEC A,50000,Cement Block,Asbestos,Smart meter,FALSE,FALSE,-0.17053023344258583
