household_ID,month,consumption
ID0001,2022-10-31,116
ID0001,2022-11-30,120
ID0001,2022-12-31,129
ID0001,2023-01-31,102
ID0001,2023-02-28,115
ID0001,2023-03-31,97
ID0001,2023-04-30,94
ID0001,2023-05-31,98
ID0001,2023-06-30,87
ID0001,2023-07-31,109
ID0001,2023-08-31,100
ID0001,2023-09-30,101
ID0001,2023-10-31,93
ID0001,2023-11-30,85
ID0001,2023-12-31,82
ID0001,2024-01-31,67
ID0001,2024-02-29,92
ID0001,2024-03-31,0
ID0001,2024-04-30,106
ID0001,2024-05-31,63
ID0001,2024-06-30,93
ID0001,2024-07-31,73
ID0001,2024-08-31,76
ID0001,2024-09-30,79
ID0001,2024-10-31,107
ID0002,2022-10-31,53
ID0002,2022-11-30,60
ID0002,2022-12-31,60
ID0002,2023-01-31,50
ID0002,2023-02-28,56
ID0002,2023-03-31,67
ID0002,2023-04-30,63
ID0002,2023-05-31,51
ID0002,2023-06-30,35
ID0002,2023-07-31,46
ID0002,2023-08-31,40
ID0002,2023-09-30,49
ID0002,2023-10-31,48
ID0002,2023-11-30,39
ID0002,2023-12-31,37
ID0002,2024-01-31,37
ID0002,2024-02-29,52
ID0002,2024-03-31,50
ID0002,2024-04-30,48
ID0002,2024-05-31,45
ID0002,2024-06-30,45
ID0002,2024-07-31,42
ID0002,2024-08-31,45
ID0002,2024-09-30,47
ID0002,2024-10-31,19
ID0003,2022-10-31,137
ID0003,2022-11-30,144
ID0003,2022-12-31,139
ID0003,2023-01-31,168
ID0003,2023-02-28,149
ID0003,2023-03-31,155
ID0003,2023-04-30,167
ID0003,2023-05-31,169
ID0003,2023-06-30,209
ID0003,2023-07-31,206
ID0003,2023-08-31,184
ID0003,2023-09-30,190
ID0003,2023-10-31,209
ID0003,2023-11-30,214
ID0003,2023-12-31,206
ID0003,2024-01-31,205
ID0003,2024-02-29,202
ID0003,2024-03-31,205
ID0003,2024-04-30,213
ID0003,2024-05-31,192
ID0003,2024-06-30,229
ID0003,2024-07-31,208
ID0003,2024-08-31,210
ID0003,2024-09-30,208
ID0003,2024-10-31,195
ID0004,2022-10-31,223
ID0004,2022-11-30,169
ID0004,2022-12-31,188
ID0004,2023-01-31,180
ID0004,2023-02-28,195
ID0004,2023-03-31,158
ID0004,2023-04-30,234
ID0004,2023-05-31,208
ID0004,2023-06-30,263
ID0004,2023-07-31,228
ID0004,2023-08-31,287
ID0004,2023-09-30,234
ID0004,2023-10-31,183
ID0004,2023-11-30,178
ID0004,2023-12-31,180
ID0004,2024-01-31,201
ID0004,2024-02-29,292
ID0004,2024-03-31,317
ID0004,2024-04-30,360
ID0004,2024-05-31,363
ID0004,2024-06-30,228
ID0004,2024-07-31,225
ID0004,2024-08-31,269
ID0004,2024-09-30,255
ID0004,2024-10-31,288
ID0005,2022-10-31,98
ID0005,2022-11-30,83
ID0005,2022-12-31,91
ID0005,2023-01-31,79
ID0005,2023-02-28,83
ID0005,2023-03-31,84
ID0005,2023-04-30,89
ID0005,2023-05-31,94
ID0005,2023-06-30,90
ID0005,2023-07-31,93
ID0005,2023-08-31,100
ID0005,2023-09-30,92
ID0005,2023-10-31,95
ID0005,2023-11-30,94
ID0005,2023-12-31,89
ID0005,2024-01-31,92
ID0005,2024-02-29,92
ID0005,2024-03-31,99
ID0005,2024-04-30,100
ID0005,2024-05-31,111
ID0005,2024-06-30,102
ID0005,2024-07-31,103
ID0005,2024-08-31,95
ID0005,2024-09-30,99
ID0005,2024-10-31,104
ID0006,2022-10-31,126
ID0006,2022-11-30,130
ID0006,2022-12-31,139
ID0006,2023-01-31,111
ID0006,2023-02-28,97
ID0006,2023-03-31,131
ID0006,2023-04-30,136
ID0006,2023-05-31,155
ID0006,2023-06-30,154
ID0006,2023-07-31,171
ID0006,2023-08-31,166
ID0006,2023-09-30,161
ID0006,2023-10-31,162
ID0006,2023-11-30,156
ID0006,2023-12-31,160
ID0006,2024-01-31,156
ID0006,2024-02-29,142
ID0006,2024-03-31,164
ID0006,2024-04-30,173
ID0006,2024-05-31,196
ID0006,2024-06-30,181
ID0006,2024-07-31,172
ID0006,2024-08-31,161
ID0006,2024-09-30,153
ID0006,2024-10-31,146
ID0007,2022-10-31,78
ID0007,2022-11-30,77
ID0007,2022-12-31,79
ID0007,2023-01-31,69
ID0007,2023-02-28,74
ID0007,2023-03-31,79
ID0007,2023-04-30,84
ID0007,2023-05-31,87
ID0007,2023-06-30,91
ID0007,2023-07-31,85
ID0007,2023-08-31,91
ID0007,2023-09-30,86
ID0007,2023-10-31,74
ID0007,2023-11-30,77
ID0007,2023-12-31,78
ID0007,2024-01-31,81
ID0007,2024-02-29,80
ID0007,2024-03-31,84
ID0007,2024-04-30,87
ID0007,2024-05-31,96
ID0007,2024-06-30,87
ID0007,2024-07-31,79
ID0007,2024-08-31,88
ID0007,2024-09-30,84
ID0007,2024-10-31,93
ID0008,2022-10-31,80
ID0008,2022-11-30,75
ID0008,2022-12-31,68
ID0008,2023-01-31,72
ID0008,2023-02-28,74
ID0008,2023-03-31,61
ID0008,2023-04-30,62
ID0008,2023-05-31,75
ID0008,2023-06-30,72
ID0008,2023-07-31,71
ID0008,2023-08-31,83
ID0008,2023-09-30,73
ID0008,2023-10-31,71
ID0008,2023-11-30,88
ID0008,2023-12-31,75
ID0008,2024-01-31,56
ID0008,2024-02-29,55
ID0008,2024-03-31,53
ID0008,2024-04-30,55
ID0008,2024-05-31,62
ID0008,2024-06-30,51
ID0008,2024-07-31,50
ID0008,2024-08-31,47
ID0008,2024-09-30,62
ID0008,2024-10-31,38
ID0009,2022-10-31,45
ID0009,2022-11-30,29
ID0009,2022-12-31,32
ID0009,2023-01-31,25
ID0009,2023-02-28,26
ID0009,2023-03-31,18
ID0009,2023-04-30,23
ID0009,2023-05-31,18
ID0009,2023-06-30,33
ID0009,2023-07-31,25
ID0009,2023-08-31,16
ID0009,2023-09-30,25
ID0009,2023-10-31,13
ID0009,2023-11-30,17
ID0009,2023-12-31,16
ID0009,2024-01-31,20
ID0009,2024-02-29,18
ID0009,2024-03-31,20
ID0009,2024-04-30,30
ID0009,2024-05-31,28
ID0009,2024-06-30,26
ID0009,2024-07-31,33
ID0009,2024-08-31,37
ID0009,2024-09-30,36
ID0009,2024-10-31,43
ID0010,2022-10-31,73
ID0010,2022-11-30,64
ID0010,2022-12-31,72
ID0010,2023-01-31,65
ID0010,2023-02-28,61
ID0010,2023-03-31,63
ID0010,2023-04-30,71
ID0010,2023-05-31,84
ID0010,2023-06-30,74
ID0010,2023-07-31,81
ID0010,2023-08-31,71
ID0010,2023-09-30,69
ID0010,2023-10-31,58
ID0010,2023-11-30,53
ID0010,2023-12-31,57
ID0010,2024-01-31,54
ID0010,2024-02-29,70
ID0010,2024-03-31,64
ID0010,2024-04-30,76
ID0010,2024-05-31,80
ID0010,2024-06-30,80
ID0010,2024-07-31,81
ID0010,2024-08-31,83
ID0010,2024-09-30,76
ID0010,2024-10-31,89
ID0011,2022-10-31,90
ID0011,2022-11-30,80
ID0011,2022-12-31,89
ID0011,2023-01-31,81
ID0011,2023-02-28,86
ID0011,2023-03-31,74
ID0011,2023-04-30,96
ID0011,2023-05-31,99
ID0011,2023-06-30,91
ID0011,2023-07-31,76
ID0011,2023-08-31,78
ID0011,2023-09-30,81
ID0011,2023-10-31,81
ID0011,2023-11-30,82
ID0011,2023-12-31,77
ID0011,2024-01-31,70
ID0011,2024-02-29,85
ID0011,2024-03-31,88
ID0011,2024-04-30,82
ID0011,2024-05-31,91
ID0011,2024-06-30,73
ID0011,2024-07-31,92
ID0011,2024-08-31,95
ID0011,2024-09-30,87
ID0011,2024-10-31,98
ID0012,2022-10-31,284
ID0012,2022-11-30,300
ID0012,2022-12-31,289
ID0012,2023-01-31,246
ID0012,2023-02-28,252
ID0012,2023-03-31,249
ID0012,2023-04-30,282
ID0012,2023-05-31,283
ID0012,2023-06-30,305
ID0012,2023-07-31,314
ID0012,2023-08-31,290
ID0012,2023-09-30,326
ID0012,2023-10-31,289
ID0012,2023-11-30,305
ID0012,2023-12-31,322
ID0012,2024-01-31,299
ID0012,2024-02-29,295
ID0012,2024-03-31,338
ID0012,2024-04-30,376
ID0012,2024-05-31,355
ID0012,2024-06-30,409
ID0012,2024-07-31,374
ID0012,2024-08-31,355
ID0012,2024-09-30,353
ID0012,2024-10-31,312
ID0013,2022-10-31,143
ID0013,2022-11-30,156
ID0013,2022-12-31,72
ID0013,2023-01-31,166
ID0013,2023-02-28,169
ID0013,2023-03-31,146
ID0013,2023-04-30,163
ID0013,2023-05-31,168
ID0013,2023-06-30,168
ID0013,2023-07-31,169
ID0013,2023-08-31,159
ID0013,2023-09-30,157
ID0013,2023-10-31,144
ID0013,2023-11-30,151
ID0013,2023-12-31,160
ID0013,2024-01-31,152
ID0013,2024-02-29,151
ID0013,2024-03-31,144
ID0013,2024-04-30,151
ID0013,2024-05-31,149
ID0013,2024-06-30,157
ID0013,2024-07-31,158
ID0013,2024-08-31,160
ID0013,2024-09-30,150
ID0013,2024-10-31,164
ID0014,2022-10-31,123
ID0014,2022-11-30,146
ID0014,2022-12-31,135
ID0014,2023-01-31,148
ID0014,2023-02-28,125
ID0014,2023-03-31,105
ID0014,2023-04-30,130
ID0014,2023-05-31,136
ID0014,2023-06-30,133
ID0014,2023-07-31,131
ID0014,2023-08-31,134
ID0014,2023-09-30,149
ID0014,2023-10-31,166
ID0014,2023-11-30,161
ID0014,2023-12-31,151
ID0014,2024-01-31,155
ID0014,2024-02-29,143
ID0014,2024-03-31,126
ID0014,2024-04-30,125
ID0014,2024-05-31,132
ID0014,2024-06-30,123
ID0014,2024-07-31,118
ID0014,2024-08-31,126
ID0014,2024-09-30,131
ID0014,2024-10-31,128
ID0015,2022-10-31,111
ID0015,2022-11-30,111
ID0015,2022-12-31,113
ID0015,2023-01-31,87
ID0015,2023-02-28,80
ID0015,2023-03-31,87
ID0015,2023-04-30,106
ID0015,2023-05-31,109
ID0015,2023-06-30,104
ID0015,2023-07-31,97
ID0015,2023-08-31,85
ID0015,2023-09-30,78
ID0015,2023-10-31,88
ID0015,2023-11-30,92
ID0015,2023-12-31,86
ID0015,2024-01-31,97
ID0015,2024-02-29,96
ID0015,2024-03-31,107
ID0015,2024-04-30,111
ID0015,2024-05-31,124
ID0015,2024-06-30,94
ID0015,2024-07-31,87
ID0015,2024-08-31,76
ID0015,2024-09-30,82
ID0015,2024-10-31,94
ID0016,2022-10-31,90
ID0016,2022-11-30,91
ID0016,2022-12-31,80
ID0016,2023-01-31,91
ID0016,2023-02-28,106
ID0016,2023-03-31,76
ID0016,2023-04-30,100
ID0016,2023-05-31,95
ID0016,2023-06-30,90
ID0016,2023-07-31,85
ID0016,2023-08-31,93
ID0016,2023-09-30,86
ID0016,2023-10-31,81
ID0016,2023-11-30,92
