household_ID,appliance_ID,appliance_type,no_of_hours_used_during_last_week
ID0001,O1_1,Refrigerator,84.0
ID0001,O12_1,Rice cooker,3.0
ID0001,O26_1,Electric Iron including electric steam iron,1.0
ID0001,O31_1,TV,0.0
ID0001,O45_1,Mobile phone - Smart phones,5.0
ID0001,O45_2,Mobile phone - Smart phones,5.0
ID0001,O47_1,Mobile phone - Basic phones,
ID0001,O47_2,Mobile phone - Basic phones,
ID0002,O1_1,Refrigerator,168.0
ID0002,O12_1,Rice cooker,0.0
ID0002,O33_1,Dialog TV / Peo TV / Satellite TV box,
ID0002,O45_1,Mobile phone - Smart phones,
ID0003,O1_1,Refrigerator,168.0
ID0003,O4_1,Microwave,0.66
ID0003,O6_1,"Electric cook tops (induction cookers, Infra-red cookers, hot plates)",0.35
ID0003,O8_1,Electric Blender,0.25
ID0003,O12_1,Rice cooker,7.0
ID0003,O13_1,Electric Kettle,0.5
ID0003,O15_1,Toaster / Sandwich toaster,1.75
ID0003,O24_1,Washing Machine,5.0
ID0003,O26_1,Electric Iron including electric steam iron,0.25
ID0003,O27_1,Electric Vacuum Cleaner,1.0
ID0003,O31_1,TV,1.0
ID0003,O33_1,Dialog TV / Peo TV / Satellite TV box,
ID0003,O41_1,"Electric musical Instruments (ex.: electric organ, electric guitar etc.)",20.0
ID0003,O43_1,Laptops,20.0
ID0003,O44_1,Routers,
ID0003,O45_1,Mobile phone - Smart phones,
ID0003,O48_1,Fixed phones,0.75
ID0003,O50_1,Printer,
ID0003,O72_1,Emergency Light / re-chargeable torches,
ID0004,O1_1,Refrigerator,168.0
ID0004,O4_1,Microwave,0.0
ID0004,O8_1,Electric Blender,1.5
ID0004,O12_1,Rice cooker,5.0
ID0004,O13_1,Electric Kettle,0.0
ID0004,O15_1,Toaster / Sandwich toaster,0.0
ID0004,O17_1,Electric pressure cooker,0.0
ID0004,O24_1,Washing Machine,2.0
ID0004,O26_1,Electric Iron including electric steam iron,2.5
ID0004,O31_1,TV,39.0
ID0004,O33_1,Dialog TV / Peo TV / Satellite TV box,
ID0004,O45_1,Mobile phone - Smart phones,
ID0004,O45_2,Mobile phone - Smart phones,
ID0004,O46_1,Mobile phone - Feature phones,
ID0004,O46_2,Mobile phone - Feature phones,
ID0004,O62_1,Electric Bell,
ID0005,O1_1,Refrigerator,168.0
ID0005,O2_1,Separate Freezer,168.0
ID0005,O9_1,Electric grinder,0.25
ID0005,O12_1,Rice cooker,7.0
