household_ID,member_ID,age,relationship_to_the_head_of_household,gender,ethnicity,religion,marital_status,current_attendance_in_any_education_instituition,highest_level_of_education,main_activity_engaged_in,main_occupation,daily_wage_owner_or_not,employment_status_of_the_main_occupation,no_of_hours_stayed_at_home_during_last_week,member_went_out_for_work_or_not_during_last_week
ID0001,I1,71,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),Related to forces,No,Government employee,168.0,"No, worked from home"
ID0001,I2,66,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Household activities,,,,168.0,
ID0001,I3,32,Son/daughter,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed post Graduate Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Government employee,70.0,"Yes, went daily during working days"
ID0001,I4,30,Son-in-law/Daughter in law,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed post Graduate Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Government employee,150.0,"Yes, went daily during working days"
ID0002,I1,85,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 6,Retired - Obtaining government/semi-government pension payment and currently not engaged in economic activity (not employed elsewhere or not engaged in any own business),,,,168.0,
ID0002,I2,66,Parents of the head of the Household/ spouse,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),Craft and related worker,No,Private sector employee,0.0,"Yes, went on most of the days"
ID0002,I3,59,Son/daughter,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),Clerk,No,Government employee,168.0,"No, worked from home"
ID0003,I1,44,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Degree / Diploma,Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),Professional,No,Government employee,100.0,"Yes, went daily during working days"
ID0003,I2,41,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed post Graduate Degree / Diploma,Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),Professional,No,Government employee,100.0,"Yes, went daily during working days"
ID0003,I3,74,Parents of the head of the Household/ spouse,Female,Sinhala,Buddhism,Widowed,Does not attend,Passed Degree / Diploma,Retired - Obtaining government/semi-government pension payment and currently not engaged in economic activity (not employed elsewhere or not engaged in any own business),,,,168.0,
ID0003,I4,11,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 6,,,,,100.0,
ID0004,I1,35,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Elementary occupation,No,Employer,70.0,"Yes, went daily during working days"
ID0004,I2,71,Parents of the head of the Household/ spouse,Female,Sinhala,Buddhism,Widowed,Does not attend,Passed G.C.E.(A/L) or equivalent,Household activities,,,,70.0,
ID0004,I3,32,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Household activities,,,,168.0,
ID0004,I4,4,Son/daughter,Male,Sinhala,Buddhism,Never married,Preschool,,,,,,148.0,
ID0005,I1,57,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Engaged in economic activity/ currently employed/ engaged in own business,Professional,Yes,Own account worker,84.0,"Yes, went daily during working days"
ID0005,I2,78,Son/daughter,Female,Sinhala,Buddhism,Widowed,Does not attend,Passed Grade 10,Household activities,,,,168.0,
ID0006,I1,48,Head of the household,Male,Sri Lankan Tamil,Hinduism,Currently married (customary),Does not attend,Passed Grade 8,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Private sector employee,112.0,"Yes, went daily during working days"
