household_ID,no_of_electricity_meters,electricity_provider_csc_area,own_the_house_or_living_on_rent,occupy_renters_boarders,awareness_of_electricity_consumption_of_renters,built_year_of_the_house,type_of_house,floor_which_house_located,no_of_storeys,floor_area,no_of_household_members,charging_method_of_renters_for_electricity,charged_method_for_rent_for_electricity,is_there_business_carried_out_in_the_household,type_of_business,whom_or_how_the_house_was_designed,availability_of_certificate_of_compliance,main_material_used_for_walls_of_the_house,main_material_used_for_roof_of_the_house,any_constructions_or_renovations_in_the_household,highest_level_of_education_of_the_chief_wage_earner,occupation_of_the_chief_wage_earner,socio_economic_class,total_monthly_expenditure_of_last_month,type_of_electricity_meter
ID0001,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,1500.0,4,,,No,,The house is designed by a certified architect.,No,Brick,Asbestos,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,35000.0,Non smart meter
ID0002,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,440.0,3,,,No,,This is a house provided by the government.,Yes,Brick,Asbestos,No,Diploma with O/L or A/L (Non graduate),Unskilled Worker,SEC D,40000.0,Non smart meter
ID0003,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Single Floor,,,2500.0,4,,,No,,The house is designed by a certified architect.,No,Brick,Tile,No,Graduate / Post-Grads / Degree level professional qualification,Middle and Senior executive,SEC A,250000.0,Smart meter
ID0004,1,BORALASGAMUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,2600.0,4,,,No,,The house is designed by a certified architect.,No,Cement Block,Concrete,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),1-9 Employed,SEC A,100000.0,Smart meter
ID0005,1,KOLONNAWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Flat,10.0,1.0,480.0,2,,,No,,The house is designed by a certified architect.,Yes,I am not aware of that,Concrete,No,Schooling up to Grade 6 - 9,Skilled Worker,SEC D,60000.0,Smart meter
ID0006,1,KOLONNAWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Flat,1.0,2.0,440.0,6,,,No,,This is a house provided by the government.,Yes,Cement Block,Concrete,No,Schooling up to Grade 6 - 9,Unskilled Worker,SEC E,100000.0,Smart meter
ID0007,1,KOLONNAWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Flat,2.0,1.0,480.0,4,,,No,,This is a house provided by the government.,Yes,Cement Block,Concrete,No,O/L or A/L pending / Passed,Small Businessman / Self employed (Non professional),SEC C,60000.0,Smart meter
ID0008,2,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,1400.0,5,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Asbestos,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Clerk / Salesman grades,SEC B,150000.0,Smart meter
ID0009,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,350.0,2,,,No,,The house is designed by a certified architect.,No,Brick,Asbestos,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,15000.0,Non smart meter
ID0010,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Single Floor,,,1000.0,7,,,No,,The house is designed by a certified architect.,No,Brick,Tile,No,Schooling up to Grade 6 - 9,Unskilled Worker,SEC E,50000.0,Non smart meter
ID0011,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,500.0,5,,,No,,The house is designed by a certified architect.,No,Cement Block,Asbestos,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Middle and Senior executive,SEC A,50000.0,Smart meter
ID0012,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,2900.0,7,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Middle and Senior executive,SEC A,200000.0,Smart meter
ID0013,1,BORALASGAMUWA,"Yes, I or a household member owns it.","Renters / boarders who are living in your annexe or any other attached place, maintaining separate living conditions but share the same electricity meter.","I know all the details about the electricity consumption of the renters/ boarders; i.e.; the appliances they use and the number of hours they use each appliance, the times they keep the lights and fans switched on etc.",1980-1989,Single House - Single Floor,,,2100.0,1,You don't charge them for electricity consumption.,,No,,The house is designed by a certified architect.,Yes,Brick,Tent,No,Graduate / Post-Grads / Degree level professional qualification,Manager / Professional,SEC A,60000.0,Smart meter
ID0014,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,1000.0,4,,,No,,The house is designed by a certified architect.,No,Cement Block,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Manager / Professional,SEC A,50000.0,Smart meter
ID0015,1,KOLONNAWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Flat,10.0,1.0,440.0,3,,,No,,This is a house provided by the government.,Yes,Cement Block,Concrete,No,Schooling up to Grade 6 - 9,Small Businessman / Self employed (Non professional),SEC D,60000.0,Non smart meter
ID0016,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,1000.0,5,,,No,,The house plan was not done by an architect but checked by a certified architect or engineer.,Yes,Brick,Asbestos,No,Schooling up to Grade 6 - 9,Skilled Worker,SEC D,85000.0,Non smart meter
ID0017,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,In 2020 or After 2020,Single House - Single Floor,,,800.0,4,,,No,,The house plan was not done by an architect but checked by a certified architect or engineer.,Yes,Brick,Tile,Yes,O/L or A/L pending / Passed,Skilled Worker,SEC C,35000.0,Non smart meter
ID0018,1,BORALASGAMUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,4000.0,7,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Middle and Senior executive,SEC A,200000.0,Smart meter
ID0019,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Single Floor,,,400.0,5,,,No,,I am not aware of that.,Don't know,Brick,Asbestos,No,Diploma with O/L or A/L (Non graduate),Supervisor grades,SEC B,80000.0,Smart meter
ID0020,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Single Floor,,,3000.0,3,,,No,,I am not aware of that.,Yes,Other,Asbestos,No,Diploma with O/L or A/L (Non graduate),Clerk / Salesman grades,SEC B,30000.0,Non smart meter
ID0021,2,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Double Floor,,,3600.0,4,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Diploma with O/L or A/L (Non graduate),Clerk / Salesman grades,SEC B,50000.0,Non smart meter
ID0022,1,AMBALANGODA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,In 2020 or After 2020,Single House - Double Floor,,,150.0,4,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Junior executive / Executive,SEC A,80000.0,Smart meter
ID0023,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,1400.0,2,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,20000.0,Non smart meter
ID0024,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Single Floor,,,2300.0,2,,,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",No,Brick,Asbestos,No,O/L or A/L pending / Passed,Small Businessman / Self employed (Non professional),SEC C,75000.0,Non smart meter
ID0025,1,AMBALANGODA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,1500.0,3,,,No,,I am not aware of that.,Don't know,Brick,Tile,No,O/L or A/L pending / Passed,Small Businessman / Self employed (Non professional),SEC C,80000.0,Non smart meter
ID0026,1,AMBALANGODA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,3000.0,5,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Diploma with O/L or A/L (Non graduate),Junior executive / Executive,SEC B,50000.0,Non smart meter
