"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",3.23525579166221,0.477793634032637,6.77124088982989,1.2859803362467e-11
"household_size",0.0792877165837083,0.0101813038531716,7.78757983526926,6.91553187757853e-15
"average_age",-0.000674196278167414,0.0011711245199896,-0.575682830185642,0.564831271725378
"employed_members",0.0361230490133769,0.0165224707087656,2.18629826314128,0.0287968024850502
"average_hours_at_home",0.00239934892319201,0.000516574093032816,4.64473336071771,3.41079945051453e-06
"total_appliances",0.0189749012824652,0.00281990872192728,6.72890620001938,1.72139123565186e-11
"total_weekly_appliance_hours",0.00182891765573372,0.000185390373590312,9.86522450068191,6.0786053396908e-23
"floor_area",1.74537563649375e-05,1.72260947050555e-05,1.01321609243302,0.310960151599873
"electricity_meters",-0.295756152166406,0.0569689832271987,-5.19152941499583,2.09104120091767e-07
"total_monthly_expenditure",6.79946984852298e-07,4.02241458600799e-07,1.6903950856222,0.0909564578415241
"month_index",0.0014113868689905,0.000876597751860301,1.61007356680448,0.107385911923582
"head_genderMale",0.0654792791712451,0.0387324966694641,1.69055146973956,0.090926563216516
"head_educationPassed Degree / Diploma",0.0283256397962514,0.149977608973526,0.18886579130123,0.850198505278789
"head_educationPassed G.C.E.(A/L) or equivalent",-0.021770523935234,0.145214964676468,-0.149919286787954,0.880828689214876
"head_educationPassed G.C.E.(O/L)",0.0347675838646871,0.141638869996937,0.245466402446158,0.806095976195221
"head_educationPassed GAQ (General Arts Qualifying (External) Examination)/GSQ (General Science Qualifying examination)",0.10268980255007,0.164460798804707,0.624402917269123,0.532364866849907
"head_educationPassed Grade 1",0.0613089174145507,0.236109347611179,0.259663236694522,0.795124249882023
"head_educationPassed Grade 10",-0.0503028611899005,0.141407388730683,-0.355730076351985,0.722043697049243
"head_educationPassed Grade 12",-0.0139846552788937,0.148053458743504,-0.0944567955222274,0.924746547851978
"head_educationPassed Grade 2",0.0218798234025905,0.204688085069694,0.106893488182962,0.914873758827161
"head_educationPassed Grade 3",-0.0657461590780912,0.177562432854222,-0.370270659290123,0.711181855555648
"head_educationPassed Grade 4",-0.0909894660409039,0.159113991765587,-0.571850816080042,0.567424723039334
"head_educationPassed Grade 5",-0.0699462895101391,0.161909770760812,-0.432007834866682,0.665736933152839
"head_educationPassed Grade 6",-0.130811541442413,0.191788843468627,-0.682060223507274,0.495202930413362
"head_educationPassed Grade 7",0.0610778354754937,0.144048269567133,0.424009505001575,0.671560070434009
