term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),3.2352557916622073,0.12333993476132916,26.23039973162495,5.570505824036829e-151,2.993510146956447,3.4770014363679675
household_size,0.07928771658370833,0.0028133343849652253,28.182827113417723,7.355435607088465e-174,0.07377359550052175,0.0848018376668949
average_age,-6.741962781674139e-4,3.23026924216281e-4,-2.0871210033130527,0.03688049066969175,-0.001307327406403322,-4.1065149931505756e-5
employed_members,0.03612304901337689,0.004588830708750198,7.871950678959623,3.53690586229565e-15,0.027128964167466817,0.04511713385928696
average_hours_at_home,0.002399348923192012,1.1658726928992357e-4,20.57985351063869,7.467946367275183e-94,0.0021708384684596053,0.0026278593779244185
total_appliances,0.01897490128246519,7.050588634668148e-4,26.912506551814005,8.615569735624569e-159,0.01759298949668293,0.020356813068247447
total_weekly_appliance_hours,0.0018289176557337169,4.643591390766966e-5,39.385843883039,0,0.0017379035006927464,0.0019199318107746873
floor_area,1.7453756364937456e-5,4.2524467746883496e-6,4.104403250577215,4.057785964251679e-5,9.118982318613907e-6,2.5788530411261006e-5
electricity_meters,-0.2957561521664064,0.011703613773451898,-25.270498317134333,2.5392516836378533e-140,-0.3186951756264497,-0.27281712870636304
total_monthly_expenditure,6.799469848522977e-7,9.861499188565596e-8,6.894965682709744,5.429266060785859e-12,4.866621024078348e-7,8.732318672967606e-7
month_index,0.0014113868689905043,6.795811853515202e-4,2.0768480637974847,0.037818905141848456,7.941120271005896e-5,0.0027433625352709496
head_genderMale,0.06547927917124513,0.010511889397499119,6.229068504737435,4.716419204495097e-10,0.044876029425804084,0.08608252891668618
head_educationPassed Degree / Diploma,0.028325639796251433,0.04794301191928002,0.5908189465430818,0.5546434796356531,-0.06564241968091414,0.12229369927341699
head_educationPassed G.C.E.(A/L) or equivalent,-0.02177052393523397,0.04632897903333592,-0.46991158427145646,0.6384195234825225,-0.11257508716648462,0.06903403929601667
head_educationPassed G.C.E.(O/L),0.03476758386468708,0.045943466253101285,0.7567470785324167,0.4492037282119259,-0.0552813762783953,0.12481654400776945
head_educationPassed GAQ (General Arts Qualifying (External) Examination)/GSQ (General Science Qualifying examination),0.10268980255006951,0.056496749474078026,1.8176231996707333,0.06912564285052133,-0.00804353902190097,0.21342314412204
head_educationPassed Grade 1,0.06130891741455071,0.09037270622672562,0.6784008134130659,0.49751964011891936,-0.11582112706666162,0.23843896189576305
head_educationPassed Grade 10,-0.0503028611899005,0.045532201886167536,-1.1047755018670045,0.2692603437585753,-0.13954574526588187,0.03894002288608088
head_educationPassed Grade 12,-0.013984655278893669,0.04720872820050648,-0.296230290710175,0.7670550197326068,-0.10651352240254174,0.0785442118447544
head_educationPassed Grade 2,0.021879823402590457,0.06222597110686026,0.35161883395947935,0.7251251045256372,-0.10008276342525943,0.14384241023044034
head_educationPassed Grade 3,-0.06574615907809123,0.06677711405184548,-0.984561252932347,0.32484273566534816,-0.19662896292658832,0.06513664477040587
head_educationPassed Grade 4,-0.09098946604090387,0.053707172116665175,-1.694177191888867,0.09023567729238643,-0.19625525018283918,0.01427631810103143
