term,estimate,naive_std_error,naive_p_value,robust_estimate,robust_std_error,robust_t_value,robust_p_value,significant_naive,significant_robust,conclusion_disagrees
month_of_yearSep,-0.036458013184969267,0.01869139076968972,0.05111728863020237,-0.036458013184969267,0.010126847760927347,-3.6001344194820497,3.1825314250137057e-4,FALSE,TRUE,TRUE
month_of_yearMay,-0.02973686053961393,0.018964585875205327,0.11688045959510618,-0.02973686053961393,0.008263958252540475,-3.5983798115718137,3.2040718049156303e-4,FALSE,TRUE,TRUE
head_main_activityToo old / Disable/ unable to work,-0.13128719681771284,0.0200872958733888,6.365151176698909e-11,-0.13128719681771284,0.07282209497193545,-1.802848391938037,0.07141595121941666,TRUE,FALSE,TRUE
socio_economic_classSEC E,-0.15029347203210744,0.02323429200412583,9.950406836619297e-11,-0.15029347203210744,0.08771094646436431,-1.713508724856475,0.08662303028697577,TRUE,FALSE,TRUE
head_genderMale,0.06547927917124513,0.010511889397499119,4.716419204495097e-10,0.06547927917124513,0.03873249666946413,1.6905514697395583,0.09092656321651603,TRUE,FALSE,TRUE
total_monthly_expenditure,6.799469848522977e-7,9.861499188565596e-8,5.429266060785859e-12,6.799469848522977e-7,4.022414586007994e-7,1.690395085622202,0.09095645784152415,TRUE,FALSE,TRUE
month_index,0.0014113868689905043,6.795811853515202e-4,0.037818905141848456,0.0014113868689905043,8.765977518603015e-4,1.6100735668044803,0.10738591192358249,TRUE,FALSE,TRUE
type_of_houseSlum / Shanty,-0.29093892620564016,0.10000200458562965,0.003623072131177022,-0.29093892620564016,0.19418636379733556,-1.4982459144725595,0.1340734856568634,TRUE,FALSE,TRUE
socio_economic_classSEC D,-0.08697349835930568,0.018000179461288113,1.355562261693995e-6,-0.08697349835930568,0.06535164969002745,-1.3308539076187649,0.18324104202784017,TRUE,FALSE,TRUE
head_occupationSkilled agricultural and fishery worker,-0.1259766065830693,0.025733500868586504,9.828881346938738e-7,-0.1259766065830693,0.09543782657219912,-1.3199861219363316,0.1868435907840565,TRUE,FALSE,TRUE
"head_occupationLegislator, senior official, and manager",0.11060247491222558,0.02383434177775336,3.48196533223308e-6,0.11060247491222558,0.08966258628833425,1.2335409839345195,0.21737777576618525,TRUE,FALSE,TRUE
head_main_activityOther,-0.2468969296643505,0.03895717926794621,2.3458779747725907e-10,-0.2468969296643505,0.20116305139400326,-1.227347308332342,0.21969584849540505,TRUE,FALSE,TRUE
type_of_houseSingle House - More than 2 floors,0.1946297985458891,0.07447716789794212,0.008969492809825242,0.1946297985458891,0.18529701002827315,1.0503666438880581,0.29355288468988766,TRUE,FALSE,TRUE
head_main_activityStudent,0.26313382223750076,0.12998082004837883,0.04293195590754288,0.26313382223750076,0.25511357591499756,1.0314379440362496,0.3023387471069885,TRUE,FALSE,TRUE
socio_economic_classSEC C,-0.053616866930376816,0.014644285353142713,0.00025112421677415627,-0.053616866930376816,0.05229021975789926,-1.025370847141585,0.3051914720193952,TRUE,FALSE,TRUE
floor_area,1.7453756364937456e-5,4.2524467746883496e-6,4.057785964251679e-5,1.7453756364937456e-5,1.7226094705055512e-5,1.0132160924330185,0.310960151599873,TRUE,FALSE,TRUE
missing_head_recordTRUE,-0.12659951551865067,0.03401058658556018,1.975133373345313e-4,-0.12659951551865067,0.12884009154160478,-0.9826096365180664,0.3258026991069376,TRUE,FALSE,TRUE
head_main_activityReceived other pension payments,-0.10020458481136237,0.025738810186305618,9.904196944616629e-5,-0.10020458481136237,0.11094596344792197,-0.903183691386829,0.3664312482605665,TRUE,FALSE,TRUE
head_main_activitySeeking for and available to work,-0.16343615615403276,0.06156902066128793,0.0079437875625023,-0.16343615615403276,0.21856792630581254,-0.747759101330168,0.45460776779030754,TRUE,FALSE,TRUE
missing_any_appliance_hoursTRUE,0.12314272998486943,0.029887645752749836,3.789595864545188e-5,0.12314272998486943,0.17050170267486728,0.7222375381182702,0.47015064980945886,TRUE,FALSE,TRUE
head_educationPassed Grade 8,0.10243493500863114,0.04715400420066139,0.0298324308906508,0.10243493500863114,0.14265269614572879,0.7180721975558552,0.47271495884151127,TRUE,FALSE,TRUE
head_educationPassed Grade 6,-0.13081154144241305,0.054356833472826195,0.016107075092608437,-0.13081154144241305,0.19178884346862654,-0.6820602235072742,0.4952029304133623,TRUE,FALSE,TRUE
head_occupationService worker and shop and market sales worker,0.05024829469669101,0.0196718768827377,0.010641416362337194,0.05024829469669101,0.07515579103965526,0.6685884614025013,0.5037600470762119,TRUE,FALSE,TRUE
head_occupationPlant and machine operator and assembler,0.06421411956971725,0.02826958457246788,0.023120001773293385,0.06421411956971725,0.09990871156020324,0.6427279319984318,0.5204025744890113,TRUE,FALSE,TRUE
head_occupationCraft and related worker,-0.06406213628058009,0.026645461726265824,0.01620839996313321,-0.06406213628058009,0.1022564899029421,-0.6264847966264575,0.5309988702928046,TRUE,FALSE,TRUE
socio_economic_classSEC B,-0.02898698187282947,0.013781499218321518,0.035440554154403565,-0.02898698187282947,0.048554916879432086,-0.596993749259375,0.5505133160135074,TRUE,FALSE,TRUE
average_age,-6.741962781674139e-4,3.23026924216281e-4,0.03688049066969175,-6.741962781674139e-4,0.0011711245199895984,-0.5756828301856424,0.5648312717253777,TRUE,FALSE,TRUE
head_employment_statusSemi government employee,-0.15946787689004602,0.0762338275529032,0.03645739363725703,-0.15946787689004602,0.33486568164378816,-0.4762144514399037,0.6339229613503392,TRUE,FALSE,TRUE
month_of_yearMar,-0.10737999241016848,0.015263739993513655,2.0096115486218755e-12,-0.10737999241016848,0.005439641618454288,-19.740269661493112,1.5967641206831748e-86,TRUE,TRUE,FALSE
month_of_yearFeb,-0.0830366653660918,0.015304725417808624,5.794830378391496e-8,-0.0830366653660918,0.006447448258414271,-12.878996781048137,6.47044181814915e-38,TRUE,TRUE,FALSE
month_of_yearDec,-0.09637925986123061,0.015495938900096352,5.008369828964873e-10,-0.09637925986123061,0.007895306051946703,-12.207159447285377,3.0628777508680023e-34,TRUE,TRUE,FALSE
month_of_yearJan,-0.08474171004949543,0.0153846134404764,3.636569310952856e-8,-0.08474171004949543,0.007270835773393941,-11.655016381966636,2.2993546453227145e-31,TRUE,TRUE,FALSE
total_weekly_appliance_hours,0.0018289176557337169,4.643591390766966e-5,0,0.0018289176557337169,1.8539037359031188e-4,9.865224500681908,6.078605339690797e-23,TRUE,TRUE,FALSE
month_of_yearOct,-0.08238297496271482,0.015793514207676388,1.8305118485946275e-7,-0.08238297496271482,0.008626004471854725,-9.550537010677111,1.3264792050722406e-21,TRUE,TRUE,FALSE
month_of_yearNov,-0.07734263279673563,0.015626845371936822,7.462152487632212e-7,-0.07734263279673563,0.008224620256618992,-9.403793778137294,5.401898432834158e-21,TRUE,TRUE,FALSE
household_size,0.07928771658370833,0.0028133343849652253,7.355435607088465e-174,0.07928771658370833,0.0101813038531716,7.787579835269256,6.91553187757853e-15,TRUE,TRUE,FALSE
(Intercept),3.2352557916622073,0.12333993476132916,5.570505824036829e-151,3.2352557916622073,0.4777936340326368,6.771240889829888,1.2859803362467046e-11,TRUE,TRUE,FALSE
total_appliances,0.01897490128246519,7.050588634668148e-4,8.615569735624569e-159,0.01897490128246519,0.00281990872192728,6.7289062000193764,1.721391235651855e-11,TRUE,TRUE,FALSE
electricity_meters,-0.2957561521664064,0.011703613773451898,2.5392516836378533e-140,-0.2957561521664064,0.05696898322719873,-5.1915294149958315,2.091041200917674e-7,TRUE,TRUE,FALSE
month_of_yearJul,-0.05040526506335887,0.0187755277578687,0.007262666564994539,-0.05040526506335887,0.010077131505880379,-5.001945745567133,5.68795854049033e-7,TRUE,TRUE,FALSE
average_hours_at_home,0.002399348923192012,1.1658726928992357e-4,7.467946367275183e-94,0.002399348923192012,5.165740930328158e-4,4.644733360717707,3.410799450514529e-6,TRUE,TRUE,FALSE
type_of_electricity_meterSmart meter,0.10717790130566664,0.007466167332699995,1.1372908462634101e-46,0.10717790130566664,0.027535588890497092,3.892340989397005,9.936546508934949e-5,TRUE,TRUE,FALSE
missing_appliance_surveyTRUE,-2.146179183423305,0.0802690995273154,9.124910913500552e-157,-2.146179183423305,0.571857745486146,-3.752994866929365,1.74863136560241e-4,TRUE,TRUE,FALSE
type_of_houseCondominium/ Luxury apartments,-1.5265202588720286,0.09524332979036812,1.0181349350212553e-57,-1.5265202588720286,0.4253703049121223,-3.58868553174485,3.3255638944509826e-4,TRUE,TRUE,FALSE
"housing_tenureYes, I or a household member owns it.",0.15356101256417462,0.011365621569524854,1.5026564379985547e-41,0.15356101256417462,0.04286234574058559,3.582655356605237,3.4032967812136115e-4,TRUE,TRUE,FALSE
"housing_tenureNo, I or any household member does not own or rent this household. We occupy this household without any payment of rent.",0.33676305493297365,0.033727328422450235,1.8348914643841796e-23,0.33676305493297365,0.10627286775417007,3.168852615438707,0.0015310203409612283,TRUE,TRUE,FALSE
employed_members,0.03612304901337689,0.004588830708750198,3.53690586229565e-15,0.03612304901337689,0.0165224707087656,2.186298263141279,0.028796802485050232,TRUE,TRUE,FALSE
head_educationSpecial Education learning / learnt,0.5648508077976627,0.10170360619571277,2.803018306930979e-8,0.5648508077976627,0.2626358683926128,2.150699412287702,0.0315030473607833,TRUE,TRUE,FALSE
