row,household_id,month,cooks_distance
73612,ID3896,2023-08-31,0.004210708286878286
7150,ID0380,2022-11-30,0.0037856377005014282
7152,ID0380,2023-01-31,0.0037777021368993824
7149,ID0380,2022-10-31,0.0037746333128451325
7151,ID0380,2022-12-31,0.0037553351882265917
60755,ID3216,2023-08-31,0.003423503773766425
60756,ID3216,2023-09-30,0.0033949225721351026
1043,ID0056,2023-08-31,0.003034616279644234
56193,ID2975,2023-05-31,0.0015757165081255148
27598,ID1460,2023-06-30,0.0015259077405629263
7153,ID0380,2023-02-28,0.0015204993961125885
27603,ID1460,2023-11-30,0.0014505209711958198
27602,ID1460,2023-10-31,0.0014454101699675806
1046,ID0056,2023-11-30,0.0013986977774164792
48045,ID2543,2024-04-30,0.0012862648148788119
48037,ID2543,2023-08-31,0.0012856295223392716
4764,ID0253,2023-08-31,0.001282542215200009
48033,ID2543,2023-04-30,0.001274920468442597
48034,ID2543,2023-05-31,0.0012746398322055754
34319,ID1816,2022-10-31,0.001273887701922732
