term,GVIF,Df,GVIF^(1/(2*Df)),adjusted_GVIF
household_size,1.8334032451991515,1,1.3540322171939454,1.3540322171939454
average_age,1.8098599188591604,1,1.3453103429540563,1.3453103429540563
employed_members,1.838567801464258,1,1.355937978472562,1.355937978472562
average_hours_at_home,1.1643750309882612,1,1.0790621071042488,1.0790621071042488
total_appliances,2.4677805838307734,1,1.5709171155190758,1.5709171155190758
total_weekly_appliance_hours,1.6548146558576458,1,1.2863959949633106,1.2863959949633106
floor_area,1.3250511708553365,1,1.1511086703067337,1.1511086703067337
electricity_meters,1.1202515006963207,1,1.0584193406662223,1.0584193406662223
total_monthly_expenditure,1.5118114406862346,1,1.229557416587869,1.229557416587869
month_index,1.130169100579336,1,1.0630941165199514,1.0630941165199514
head_gender,1.26451405689492,1,1.1245061391094848,1.1245061391094848
head_education,7.145212547147224,19,1.0531108395932438,1.0531108395932438
head_occupation,4.360601838470629,10,1.0764090034115614,1.0764090034115614
head_employment_status,2.2974153070277232,5,1.0867357422161483,1.0867357422161483
head_main_activity,5.128159549431198,9,1.0950710735057039,1.0950710735057039
socio_economic_class,5.667409200538349,4,1.242147218963941,1.242147218963941
type_of_house,1.7115154322517372,9,1.0303045104518704,1.0303045104518704
housing_tenure,1.1526845160403392,3,1.0239649156398989,1.0239649156398989
type_of_electricity_meter,1.1319230112143241,1,1.0639187051717458,1.0639187051717458
missing_head_record,1.169893689285364,1,1.0816162393776103,1.0816162393776103
missing_appliance_survey,1.039567241284909,1,1.0195917032248296,1.0195917032248296
missing_any_appliance_hours,1.0789839747339982,1,1.038741534133491,1.038741534133491
month_of_year,1.130165966516355,11,1.0055775192632408,1.0055775192632408
